usecs   ticks  time part mamType noteType channel pitch velocity    other
555556       0 0.000    0       2       f0       f    51        0 00000000
    0       0 0.000    1       1       c0       0     0        0 00000000
    0       0 0.000    1       1       b0       0     7       64 00000000
    0       0 0.000    1       1       b0       0     a       40 00000000
    0     120 0.000    1       0       90       0    4c       6b 00000000
    0     216 0.000    1       0       80       0    4c        0 00000000
    0     240 0.000    1       0       90       0    45       6b 00000000
    0     336 0.000    1       0       80       0    45        0 00000000
    0     360 0.000    1       0       90       0    51       6b 00000000
    0     456 0.000    1       0       80       0    51        0 00000000
    0     480 0.000    1       0       90       0    4f       6b 00000000
    0     528 0.000    1       0       80       0    4f        0 00000000
    0     540 0.000    1       0       90       0    4c       6b 00000000
    0     588 0.000    1       0       80       0    4c        0 00000000
    0     600 0.000    1       0       90       0    4d       6b 00000000
    0     648 0.000    1       0       80       0    4d        0 00000000
    0     660 0.000    1       0       90       0    4a       6b 00000000
    0     708 0.000    1       0       80       0    4a        0 00000000
    0     720 0.000    1       0       90       0    4c       6b 00000000
    0     768 0.000    1       0       80       0    4c        0 00000000
    0     780 0.000    1       0       90       0    4a       6b 00000000
    0     828 0.000    1       0       80       0    4a        0 00000000
    0     840 0.000    1       0       90       0    48       6b 00000000
    0     888 0.000    1       0       80       0    48        0 00000000
    0     900 0.000    1       0       90       0    47       6b 00000000
    0     948 0.000    1       0       80       0    47        0 00000000
    0     960 0.000    1       0       90       0    48       6b 00000000
    0    1008 0.000    1       0       80       0    48        0 00000000
    0    1020 0.000    1       0       90       0    47       6b 00000000
    0    1068 0.000    1       0       80       0    47        0 00000000
    0    1080 0.000    1       0       90       0    48       6b 00000000
    0    1128 0.000    1       0       80       0    48        0 00000000
    0    1140 0.000    1       0       90       0    4d       6b 00000000
    0    1188 0.000    1       0       80       0    4d        0 00000000
    0    1200 0.000    1       0       90       0    47       6b 00000000
    0    1248 0.000    1       0       80       0    47        0 00000000
    0    1260 0.000    1       0       90       0    4c       6b 00000000
    0    1308 0.000    1       0       80       0    4c        0 00000000
    0    1320 0.000    1       0       90       0    45       6b 00000000
    0    1368 0.000    1       0       80       0    45        0 00000000
    0    1380 0.000    1       0       90       0    4a       6b 00000000
    0    1428 0.000    1       0       80       0    4a        0 00000000
    0    1440 0.000    1       0       90       0    44       6b 00000000
    0    1488 0.000    1       0       80       0    44        0 00000000
    0    1500 0.000    1       0       90       0    4a       6b 00000000
    0    1548 0.000    1       0       80       0    4a        0 00000000
    0    1560 0.000    1       0       90       0    47       6b 00000000
    0    1608 0.000    1       0       80       0    47        0 00000000
    0    1620 0.000    1       0       90       0    44       6b 00000000
    0    1668 0.000    1       0       80       0    44        0 00000000
    0    1680 0.000    1       0       90       0    4a       6b 00000000
    0    1728 0.000    1       0       80       0    4a        0 00000000
    0    1740 0.000    1       0       90       0    47       6b 00000000
    0    1788 0.000    1       0       80       0    47        0 00000000
    0    1800 0.000    1       0       90       0    44       6b 00000000
    0    1848 0.000    1       0       80       0    44        0 00000000
    0    1860 0.000    1       0       90       0    47       6b 00000000
    0    1908 0.000    1       0       80       0    47        0 00000000
    0    1920 0.000    1       0       90       0    40       6b 00000000
    0    1968 0.000    1       0       80       0    40        0 00000000
    0    1980 0.000    1       0       90       0    4a       6b 00000000
    0    2028 0.000    1       0       80       0    4a        0 00000000
    0    2040 0.000    1       0       90       0    48       6b 00000000
    0    2088 0.000    1       0       80       0    48        0 00000000
    0    2100 0.000    1       0       90       0    47       6b 00000000
    0    2148 0.000    1       0       80       0    47        0 00000000
    0    2160 0.000    1       0       90       0    48       6b 00000000
    0    2208 0.000    1       0       80       0    48        0 00000000
    0    2220 0.000    1       0       90       0    47       6b 00000000
    0    2268 0.000    1       0       80       0    47        0 00000000
    0    2280 0.000    1       0       90       0    45       6b 00000000
    0    2328 0.000    1       0       80       0    45        0 00000000
    0    2340 0.000    1       0       90       0    44       6b 00000000
    0    2388 0.000    1       0       80       0    44        0 00000000
    0    2400 0.000    1       0       90       0    45       6b 00000000
    0    2448 0.000    1       0       80       0    45        0 00000000
    0    2460 0.000    1       0       90       0    47       6b 00000000
    0    2508 0.000    1       0       80       0    47        0 00000000
    0    2520 0.000    1       0       90       0    48       6b 00000000
    0    2568 0.000    1       0       80       0    48        0 00000000
    0    2580 0.000    1       0       90       0    41       6b 00000000
    0    2628 0.000    1       0       80       0    41        0 00000000
    0    2640 0.000    1       0       90       0    47       6b 00000000
    0    2688 0.000    1       0       80       0    47        0 00000000
    0    2700 0.000    1       0       90       0    40       6b 00000000
    0    2748 0.000    1       0       80       0    40        0 00000000
    0    2760 0.000    1       0       90       0    45       6b 00000000
    0    2808 0.000    1       0       80       0    45        0 00000000
    0    2820 0.000    1       0       90       0    47       6b 00000000
    0    2868 0.000    1       0       80       0    47        0 00000000
    0    2880 0.000    1       0       90       0    44       6b 00000000
    0    2976 0.000    1       0       80       0    44        0 00000000
    0    3000 0.000    1       0       90       0    40       6b 00000000
    0    3096 0.000    1       0       80       0    40        0 00000000
    0    3120 0.000    1       0       90       0    44       6b 00000000
    0    3216 0.000    1       0       80       0    44        0 00000000
    0    3240 0.000    1       0       90       0    47       6b 00000000
    0    3336 0.000    1       0       80       0    47        0 00000000
    0    3360 0.000    1       0       90       0    44       6b 00000000
    0    3456 0.000    1       0       80       0    44        0 00000000
    0    3480 0.000    1       0       90       0    40       6b 00000000
    0    3576 0.000    1       0       80       0    40        0 00000000
    0    3600 0.000    1       0       90       0    45       6b 00000000
    0    3648 0.000    1       0       80       0    45        0 00000000
    0    3660 0.000    1       0       90       0    4f       6b 00000000
    0    3708 0.000    1       0       80       0    4f        0 00000000
    0    3720 0.000    1       0       90       0    4c       6b 00000000
    0    3768 0.000    1       0       80       0    4c        0 00000000
    0    3780 0.000    1       0       90       0    49       6b 00000000
    0    3828 0.000    1       0       80       0    49        0 00000000
    0    3840 0.000    1       0       90       0    4f       6b 00000000
    0    3888 0.000    1       0       80       0    4f        0 00000000
    0    3900 0.000    1       0       90       0    4c       6b 00000000
    0    3948 0.000    1       0       80       0    4c        0 00000000
    0    3960 0.000    1       0       90       0    49       6b 00000000
    0    4008 0.000    1       0       80       0    49        0 00000000
    0    4020 0.000    1       0       90       0    4c       6b 00000000
    0    4068 0.000    1       0       80       0    4c        0 00000000
    0    4080 0.000    1       0       90       0    45       6b 00000000
    0    4128 0.000    1       0       80       0    45        0 00000000
    0    4140 0.000    1       0       90       0    43       6b 00000000
    0    4188 0.000    1       0       80       0    43        0 00000000
    0    4200 0.000    1       0       90       0    42       6b 00000000
    0    4248 0.000    1       0       80       0    42        0 00000000
    0    4260 0.000    1       0       90       0    40       6b 00000000
    0    4308 0.000    1       0       80       0    40        0 00000000
    0    4320 0.000    1       0       90       0    42       6b 00000000
    0    4416 0.000    1       0       80       0    42        0 00000000
    0    4440 0.000    1       0       90       0    4a       6b 00000000
    0    4536 0.000    1       0       80       0    4a        0 00000000
    0    4560 0.000    1       0       90       0    4e       6b 00000000
    0    4656 0.000    1       0       80       0    4e        0 00000000
    0    4680 0.000    1       0       90       0    51       6b 00000000
    0    4776 0.000    1       0       80       0    51        0 00000000
    0    4800 0.000    1       0       90       0    4e       6b 00000000
    0    4896 0.000    1       0       80       0    4e        0 00000000
    0    4920 0.000    1       0       90       0    4a       6b 00000000
    0    5016 0.000    1       0       80       0    4a        0 00000000
    0    5040 0.000    1       0       90       0    4f       6b 00000000
    0    5088 0.000    1       0       80       0    4f        0 00000000
    0    5100 0.000    1       0       90       0    4d       6b 00000000
    0    5148 0.000    1       0       80       0    4d        0 00000000
    0    5160 0.000    1       0       90       0    4a       6b 00000000
    0    5208 0.000    1       0       80       0    4a        0 00000000
    0    5220 0.000    1       0       90       0    47       6b 00000000
    0    5268 0.000    1       0       80       0    47        0 00000000
    0    5280 0.000    1       0       90       0    4d       6b 00000000
    0    5328 0.000    1       0       80       0    4d        0 00000000
    0    5340 0.000    1       0       90       0    4a       6b 00000000
    0    5388 0.000    1       0       80       0    4a        0 00000000
    0    5400 0.000    1       0       90       0    47       6b 00000000
    0    5448 0.000    1       0       80       0    47        0 00000000
    0    5460 0.000    1       0       90       0    4a       6b 00000000
    0    5508 0.000    1       0       80       0    4a        0 00000000
    0    5520 0.000    1       0       90       0    43       6b 00000000
    0    5568 0.000    1       0       80       0    43        0 00000000
    0    5580 0.000    1       0       90       0    4d       6b 00000000
    0    5628 0.000    1       0       80       0    4d        0 00000000
    0    5640 0.000    1       0       90       0    4c       6b 00000000
    0    5688 0.000    1       0       80       0    4c        0 00000000
    0    5700 0.000    1       0       90       0    4a       6b 00000000
    0    5748 0.000    1       0       80       0    4a        0 00000000
    0    5760 0.000    1       0       90       0    4c       6b 00000000
    0    5808 0.000    1       0       80       0    4c        0 00000000
    0    5820 0.000    1       0       90       0    4a       6b 00000000
    0    5868 0.000    1       0       80       0    4a        0 00000000
    0    5880 0.000    1       0       90       0    48       6b 00000000
    0    5928 0.000    1       0       80       0    48        0 00000000
    0    5940 0.000    1       0       90       0    47       6b 00000000
    0    5988 0.000    1       0       80       0    47        0 00000000
    0    6000 0.000    1       0       90       0    45       6b 00000000
    0    6048 0.000    1       0       80       0    45        0 00000000
    0    6060 0.000    1       0       90       0    48       6b 00000000
    0    6108 0.000    1       0       80       0    48        0 00000000
    0    6120 0.000    1       0       90       0    4a       6b 00000000
    0    6168 0.000    1       0       80       0    4a        0 00000000
    0    6180 0.000    1       0       90       0    4e       6b 00000000
    0    6228 0.000    1       0       80       0    4e        0 00000000
    0    6240 0.000    1       0       90       0    4f       6b 00000000
    0    6288 0.000    1       0       80       0    4f        0 00000000
    0    6300 0.000    1       0       90       0    47       6b 00000000
    0    6348 0.000    1       0       80       0    47        0 00000000
    0    6360 0.000    1       0       90       0    48       6b 00000000
    0    6408 0.000    1       0       80       0    48        0 00000000
    0    6420 0.000    1       0       90       0    45       6b 00000000
    0    6468 0.000    1       0       80       0    45        0 00000000
    0    6480 0.000    1       0       90       0    47       6b 00000000
    0    6528 0.000    1       0       80       0    47        0 00000000
    0    6540 0.000    1       0       90       0    4a       6b 00000000
