 usecs   ticks  time part mamType noteType channel pitch velocity    other
555556       0 0.000    0       2       f0       f    51        0 00000000
     0       0 0.000    1       1       c0       0     0        0 00000000
     0       0 0.000    1       1       b0       0     7       64 00000000
     0       0 0.000    1       1       b0       0     a       40 00000000
     0       0 0.000    2       1       c0       1     0        0 00000000
     0       0 0.000    2       1       b0       1     7       64 00000000
     0       0 0.000    2       1       b0       1     a       40 00000000
     0     120 0.278    1       0       90       0    4c       6b 00000000
     0     216 0.500    1       0       80       0    4c        0 00000000
     0     240 0.556    1       0       90       0    45       6b 00000000
     0     336 0.778    1       0       80       0    45        0 00000000
     0     360 0.833    1       0       90       0    51       6b 00000000
     0     456 1.056    1       0       80       0    51        0 00000000
     0     480 1.111    1       0       90       0    4f       6b 00000000
     0     528 1.222    1       0       80       0    4f        0 00000000
     0     540 1.250    1       0       90       0    4c       6b 00000000
     0     588 1.361    1       0       80       0    4c        0 00000000
     0     600 1.389    1       0       90       0    4d       6b 00000000
     0     648 1.500    1       0       80       0    4d        0 00000000
     0     660 1.528    1       0       90       0    4a       6b 00000000
     0     708 1.639    1       0       80       0    4a        0 00000000
     0     720 1.667    1       0       90       0    4c       6b 00000000
     0     768 1.778    1       0       80       0    4c        0 00000000
     0     780 1.806    1       0       90       0    4a       6b 00000000
     0     828 1.917    1       0       80       0    4a        0 00000000
     0     840 1.944    1       0       90       0    48       6b 00000000
     0     840 1.944    2       0       90       1    40       6b 00000000
     0     888 2.056    1       0       80       0    48        0 00000000
     0     900 2.083    1       0       90       0    47       6b 00000000
     0     936 2.167    2       0       80       1    40        0 00000000
     0     948 2.194    1       0       80       0    47        0 00000000
     0     960 2.222    1       0       90       0    48       6b 00000000
     0     960 2.222    2       0       90       1    39       6b 00000000
     0    1008 2.333    1       0       80       0    48        0 00000000
     0    1020 2.361    1       0       90       0    47       6b 00000000
     0    1056 2.444    2       0       80       1    39        0 00000000
     0    1068 2.472    1       0       80       0    47        0 00000000
     0    1080 2.500    1       0       90       0    48       6b 00000000
     0    1080 2.500    2       0       90       1    45       6b 00000000
     0    1128 2.611    1       0       80       0    48        0 00000000
     0    1140 2.639    1       0       90       0    4d       6b 00000000
     0    1176 2.722    2       0       80       1    45        0 00000000
     0    1188 2.750    1       0       80       0    4d        0 00000000
     0    1200 2.778    1       0       90       0    47       6b 00000000
     0    1200 2.778    2       0       90       1    43       6b 00000000
     0    1248 2.889    1       0       80       0    47        0 00000000
     0    1248 2.889    2       0       80       1    43        0 00000000
     0    1260 2.917    1       0       90       0    4c       6b 00000000
     0    1260 2.917    2       0       90       1    40       6b 00000000
     0    1308 3.028    1       0       80       0    4c        0 00000000
     0    1308 3.028    2       0       80       1    40        0 00000000
     0    1320 3.056    1       0       90       0    45       6b 00000000
     0    1320 3.056    2       0       90       1    41       6b 00000000
     0    1368 3.167    1       0       80       0    45        0 00000000
     0    1368 3.167    2       0       80       1    41        0 00000000
     0    1380 3.194    1       0       90       0    4a       6b 00000000
     0    1380 3.194    2       0       90       1    3e       6b 00000000
     0    1428 3.306    1       0       80       0    4a        0 00000000
     0    1428 3.306    2       0       80       1    3e        0 00000000
     0    1440 3.333    1       0       90       0    44       6b 00000000
     0    1440 3.333    2       0       90       1    40       6b 00000000
     0    1488 3.444    1       0       80       0    44        0 00000000
     0    1500 3.472    1       0       90       0    4a       6b 00000000
     0    1548 3.583    1       0       80       0    4a        0 00000000
     0    1553 3.595    2       0       80       1    40        0 00000000
     0    1560 3.611    1       0       90       0    47       6b 00000000
     0    1560 3.611    2       0       90       1    34       6b 00000000
     0    1608 3.722    1       0       80       0    47        0 00000000
     0    1620 3.750    1       0       90       0    44       6b 00000000
     0    1668 3.861    1       0       80       0    44        0 00000000
     0    1673 3.873    2       0       80       1    34        0 00000000
     0    1680 3.889    1       0       90       0    4a       6b 00000000
     0    1680 3.889    2       0       90       1    38       6b 00000000
     0    1728 4.000    1       0       80       0    4a        0 00000000
     0    1740 4.028    1       0       90       0    47       6b 00000000
     0    1788 4.139    1       0       80       0    47        0 00000000
     0    1793 4.150    2       0       80       1    38        0 00000000
     0    1800 4.167    1       0       90       0    44       6b 00000000
     0    1800 4.167    2       0       90       1    3b       6b 00000000
     0    1848 4.278    1       0       80       0    44        0 00000000
     0    1860 4.306    1       0       90       0    47       6b 00000000
     0    1908 4.417    1       0       80       0    47        0 00000000
     0    1913 4.428    2       0       80       1    3b        0 00000000
     0    1920 4.444    1       0       90       0    40       6b 00000000
     0    1920 4.444    2       0       90       1    38       6b 00000000
     0    1968 4.556    1       0       80       0    40        0 00000000
     0    1980 4.583    1       0       90       0    4a       6b 00000000
     0    2028 4.694    1       0       80       0    4a        0 00000000
     0    2033 4.706    2       0       80       1    38        0 00000000
     0    2040 4.722    1       0       90       0    48       6b 00000000
     0    2040 4.722    2       0       90       1    34       6b 00000000
     0    2088 4.833    1       0       80       0    48        0 00000000
     0    2100 4.861    1       0       90       0    47       6b 00000000
     0    2148 4.972    1       0       80       0    47        0 00000000
     0    2153 4.984    2       0       80       1    34        0 00000000
     0    2160 5.000    1       0       90       0    48       6b 00000000
     0    2160 5.000    2       0       90       1    39       6b 00000000
     0    2208 5.111    1       0       80       0    48        0 00000000
     0    2220 5.139    1       0       90       0    47       6b 00000000
     0    2256 5.222    2       0       80       1    39        0 00000000
     0    2268 5.250    1       0       80       0    47        0 00000000
     0    2280 5.278    1       0       90       0    45       6b 00000000
     0    2280 5.278    2       0       90       1    34       6b 00000000
     0    2328 5.389    1       0       80       0    45        0 00000000
     0    2340 5.417    1       0       90       0    44       6b 00000000
     0    2376 5.500    2       0       80       1    34        0 00000000
     0    2388 5.528    1       0       80       0    44        0 00000000
     0    2400 5.556    1       0       90       0    45       6b 00000000
     0    2400 5.556    2       0       90       1    2d       6b 00000000
     0    2448 5.667    1       0       80       0    45        0 00000000
     0    2460 5.694    1       0       90       0    47       6b 00000000
     0    2496 5.778    2       0       80       1    2d        0 00000000
     0    2508 5.806    1       0       80       0    47        0 00000000
     0    2520 5.833    1       0       90       0    48       6b 00000000
     0    2520 5.833    2       0       90       1    39       6b 00000000
     0    2568 5.944    1       0       80       0    48        0 00000000
     0    2580 5.972    1       0       90       0    41       6b 00000000
     0    2616 6.056    2       0       80       1    39        0 00000000
     0    2628 6.083    1       0       80       0    41        0 00000000
     0    2640 6.111    1       0       90       0    47       6b 00000000
     0    2640 6.111    2       0       90       1    37       6b 00000000
     0    2688 6.222    1       0       80       0    47        0 00000000
     0    2688 6.222    2       0       80       1    37        0 00000000
     0    2700 6.250    1       0       90       0    40       6b 00000000
     0    2700 6.250    2       0       90       1    34       6b 00000000
     0    2748 6.361    1       0       80       0    40        0 00000000
     0    2748 6.361    2       0       80       1    34        0 00000000
     0    2760 6.389    1       0       90       0    45       6b 00000000
     0    2760 6.389    2       0       90       1    35       6b 00000000
     0    2808 6.500    1       0       80       0    45        0 00000000
     0    2808 6.500    2       0       80       1    35        0 00000000
     0    2820 6.528    1       0       90       0    47       6b 00000000
     0    2820 6.528    2       0       90       1    32       6b 00000000
     0    2868 6.639    1       0       80       0    47        0 00000000
     0    2868 6.639    2       0       80       1    32        0 00000000
     0    2880 6.667    1       0       90       0    44       6b 00000000
     0    2880 6.667    2       0       90       1    34       6b 00000000
     0    2928 6.778    2       0       80       1    34        0 00000000
     0    2940 6.806    2       0       90       1    32       6b 00000000
     0    2976 6.889    1       0       80       0    44        0 00000000
     0    2988 6.917    2       0       80       1    32        0 00000000
     0    3000 6.944    1       0       90       0    40       6b 00000000
     0    3000 6.944    2       0       90       1    2f       6b 00000000
     0    3048 7.056    2       0       80       1    2f        0 00000000
     0    3060 7.083    2       0       90       1    2c       6b 00000000
     0    3096 7.167    1       0       80       0    40        0 00000000
     0    3108 7.194    2       0       80       1    2c        0 00000000
     0    3120 7.222    1       0       90       0    44       6b 00000000
     0    3120 7.222    2       0       90       1    32       6b 00000000
     0    3168 7.333    2       0       80       1    32        0 00000000
     0    3180 7.361    2       0       90       1    2f       6b 00000000
     0    3216 7.444    1       0       80       0    44        0 00000000
     0    3228 7.472    2       0       80       1    2f        0 00000000
     0    3240 7.500    1       0       90       0    47       6b 00000000
     0    3240 7.500    2       0       90       1    2c       6b 00000000
     0    3288 7.611    2       0       80       1    2c        0 00000000
     0    3300 7.639    2       0       90       1    2f       6b 00000000
     0    3336 7.722    1       0       80       0    47        0 00000000
     0    3348 7.750    2       0       80       1    2f        0 00000000
     0    3360 7.778    1       0       90       0    44       6b 00000000
     0    3360 7.778    2       0       90       1    28       6b 00000000
     0    3408 7.889    2       0       80       1    28        0 00000000
     0    3420 7.917    2       0       90       1    32       6b 00000000
     0    3456 8.000    1       0       80       0    44        0 00000000
     0    3468 8.028    2       0       80       1    32        0 00000000
     0    3480 8.056    1       0       90       0    40       6b 00000000
     0    3480 8.056    2       0       90       1    30       6b 00000000
     0    3528 8.167    2       0       80       1    30        0 00000000
     0    3540 8.194    2       0       90       1    2f       6b 00000000
     0    3576 8.278    1       0       80       0    40        0 00000000
     0    3588 8.306    2       0       80       1    2f        0 00000000
     0    3600 8.333    1       0       90       0    45       6b 00000000
     0    3600 8.333    2       0       90       1    31       6b 00000000
     0    3648 8.444    1       0       80       0    45        0 00000000
     0    3660 8.472    1       0       90       0    4f       6b 00000000
     0    3696 8.556    2       0       80       1    31        0 00000000
     0    3708 8.583    1       0       80       0    4f        0 00000000
     0    3720 8.611    1       0       90       0    4c       6b 00000000
     0    3720 8.611    2       0       90       1    2d       6b 00000000
     0    3768 8.722    1       0       80       0    4c        0 00000000
     0    3780 8.750    1       0       90       0    49       6b 00000000
     0    3816 8.833    2       0       80       1    2d        0 00000000
     0    3828 8.861    1       0       80       0    49        0 00000000
     0    3840 8.889    1       0       90       0    4f       6b 00000000
     0    3840 8.889    2       0       90       1    31       6b 00000000
     0    3888 9.000    1       0       80       0    4f        0 00000000
     0    3900 9.028    1       0       90       0    4c       6b 00000000
     0    3936 9.111    2       0       80       1    31        0 00000000
     0    3948 9.139    1       0       80       0    4c        0 00000000
     0    3960 9.167    1       0       90       0    49       6b 00000000
